"Varianten-ID","Name 1","Produkttyp","Farbe","Kompatibel zu","Variantenbeschreibung","Enthält","Kapazität","Patronen Nr"
96955,"Kompatibel Brother TN-2010 Druckerpatronen black","Toner","Black","Brother DCP-7055<br>Brother DCP-7055W<br>Brother DCP-7057<br>Brother HL-2130<br>Brother HL-2130R<br>Brother HL-2132<br>Brother HL-2132R<br>Brother HL-2135W",,,"3x 1000 Seiten ","TN-2010"
96956,"Kompatibel Brother TN-2010 Tonerpatronen black","Toner","Black","Brother DCP-7055<br>Brother DCP-7055W<br>Brother DCP-7057<br>Brother HL-2130<br>Brother HL-2130R<br>Brother HL-2132<br>Brother HL-2132R<br>Brother HL-2135W",,,"5x 1000 Seiten ","TN-2010"
96957,"Kompatibel Brother TN2010 Tonerkartuschen black","Toner","Black","Brother DCP-7055<br>Brother DCP-7055W<br>Brother DCP-7057<br>Brother HL-2130<br>Brother HL-2130R<br>Brother HL-2132<br>Brother HL-2132R<br>Brother HL-2135W",,,"8x 1000 Seiten ","TN-2010"
96958,"Kompatibel Brother TN 2010 Tonerkassetten","Toner","Black","Brother DCP-7055<br>Brother DCP-7055W<br>Brother DCP-7057<br>Brother HL-2130<br>Brother HL-2130R<br>Brother HL-2132<br>Brother HL-2132R<br>Brother HL-2135W",,,"8x 1000 Seiten ","TN-2010"
96959,"Kompatibel Brother TN 2010 Toner black","Toner","Black","Brother DCP-7055<br>Brother DCP-7055W<br>Brother DCP-7057<br>Brother HL-2130<br>Brother HL-2130R<br>Brother HL-2132<br>Brother HL-2132R<br>Brother HL-2135W",,,"1x 1000 Seiten ","TN-2010"
97111,"Kompatibel Toner Brother TN-2420 XL black 4 Stück","Toner","Black","Brother DCP-L 2510D<br>Brother DCP-L 2512D<br>Brother DCP-L 2530DW<br>Brother DCP-L 2537DW<br>Brother DCP-L 2550DN<br>Brother HL-L 2310D<br>Brother HL-L 2350DW<br>Brother HL-L 2357DW<br>Brother HL-L 2370DN<br>Brother HL-L 2372DN<br>Brother HL-L 2375DW<br>Brother MFC-L 2710DN<br>Brother MFC-L 2710DW<br>Brother MFC-L 2712DN<br>Brother MFC-L 2712DW<br>Brother MFC-L 2730DW<br>Brother MFC-L 2732DW<br>Brother MFC-L 2735DW<br>Brother MFC-L 2750DW",,,"4x 6000 Seiten ","TN-2420 XL"
97112,"Kompatibel Toner Cartridges Brother TN-2420 XL black","Toner","Black","Brother DCP-L 2510D<br>Brother DCP-L 2512D<br>Brother DCP-L 2530DW<br>Brother DCP-L 2537DW<br>Brother DCP-L 2550DN<br>Brother HL-L 2310D<br>Brother HL-L 2350DW<br>Brother HL-L 2357DW<br>Brother HL-L 2370DN<br>Brother HL-L 2372DN<br>Brother HL-L 2375DW<br>Brother MFC-L 2710DN<br>Brother MFC-L 2710DW<br>Brother MFC-L 2712DN<br>Brother MFC-L 2712DW<br>Brother MFC-L 2730DW<br>Brother MFC-L 2732DW<br>Brother MFC-L 2735DW<br>Brother MFC-L 2750DW",,,"2x 6000 Seiten ","TN-2420 XL"
97113,"Kompatibel Druckerpatronen Brother TN-2420 XL black","Toner","Black","Brother DCP-L 2510D<br>Brother DCP-L 2512D<br>Brother DCP-L 2530DW<br>Brother DCP-L 2537DW<br>Brother DCP-L 2550DN<br>Brother HL-L 2310D<br>Brother HL-L 2350DW<br>Brother HL-L 2357DW<br>Brother HL-L 2370DN<br>Brother HL-L 2372DN<br>Brother HL-L 2375DW<br>Brother MFC-L 2710DN<br>Brother MFC-L 2710DW<br>Brother MFC-L 2712DN<br>Brother MFC-L 2712DW<br>Brother MFC-L 2730DW<br>Brother MFC-L 2732DW<br>Brother MFC-L 2735DW<br>Brother MFC-L 2750DW",,,"3x 6000 Seiten ","TN-2420 XL"
97114,"Kompatibel Tonerpatronen Brother TN-2420 XL black","Toner","Black","Brother DCP-L 2510D<br>Brother DCP-L 2512D<br>Brother DCP-L 2530DW<br>Brother DCP-L 2537DW<br>Brother DCP-L 2550DN<br>Brother HL-L 2310D<br>Brother HL-L 2350DW<br>Brother HL-L 2357DW<br>Brother HL-L 2370DN<br>Brother HL-L 2372DN<br>Brother HL-L 2375DW<br>Brother MFC-L 2710DN<br>Brother MFC-L 2710DW<br>Brother MFC-L 2712DN<br>Brother MFC-L 2712DW<br>Brother MFC-L 2730DW<br>Brother MFC-L 2732DW<br>Brother MFC-L 2735DW<br>Brother MFC-L 2750DW",,,"5x 6000 Seiten ","TN-2420 XL"
97115,"Kompatibel Tonerkartuschen Brother TN2420XL black","Toner","Black","Brother DCP-L 2510D<br>Brother DCP-L 2512D<br>Brother DCP-L 2530DW<br>Brother DCP-L 2537DW<br>Brother DCP-L 2550DN<br>Brother HL-L 2310D<br>Brother HL-L 2350DW<br>Brother HL-L 2357DW<br>Brother HL-L 2370DN<br>Brother HL-L 2372DN<br>Brother HL-L 2375DW<br>Brother MFC-L 2710DN<br>Brother MFC-L 2710DW<br>Brother MFC-L 2712DN<br>Brother MFC-L 2712DW<br>Brother MFC-L 2730DW<br>Brother MFC-L 2732DW<br>Brother MFC-L 2735DW<br>Brother MFC-L 2750DW",,,"8x 6000 Seiten ","TN-2420 XL"
97116,"Kompatibel Tonerkassetten Brother TN 2420XL","Toner","Black","Brother DCP-L 2510D<br>Brother DCP-L 2512D<br>Brother DCP-L 2530DW<br>Brother DCP-L 2537DW<br>Brother DCP-L 2550DN<br>Brother HL-L 2310D<br>Brother HL-L 2350DW<br>Brother HL-L 2357DW<br>Brother HL-L 2370DN<br>Brother HL-L 2372DN<br>Brother HL-L 2375DW<br>Brother MFC-L 2710DN<br>Brother MFC-L 2710DW<br>Brother MFC-L 2712DN<br>Brother MFC-L 2712DW<br>Brother MFC-L 2730DW<br>Brother MFC-L 2732DW<br>Brother MFC-L 2735DW<br>Brother MFC-L 2750DW",,,"10x 6000 Seiten ","TN-2420 XL"
97117,"Kompatibel Lasertoner Brother TN-2420 XL schwarz","Toner","Black","Brother DCP-L 2510D<br>Brother DCP-L 2512D<br>Brother DCP-L 2530DW<br>Brother DCP-L 2537DW<br>Brother DCP-L 2550DN<br>Brother HL-L 2310D<br>Brother HL-L 2350DW<br>Brother HL-L 2357DW<br>Brother HL-L 2370DN<br>Brother HL-L 2372DN<br>Brother HL-L 2375DW<br>Brother MFC-L 2710DN<br>Brother MFC-L 2710DW<br>Brother MFC-L 2712DN<br>Brother MFC-L 2712DW<br>Brother MFC-L 2730DW<br>Brother MFC-L 2732DW<br>Brother MFC-L 2735DW<br>Brother MFC-L 2750DW",,,"1x 6000 Seiten ","TN-2420 XL"
